episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2
0,13,7.500000,agent_1,actor_logits,1,1,2,0.116384,-0.115102,0.231486,0.686494,0.557614,-0.115102,0.116384,
0,14,8.000000,agent_1,actor_logits,0,1,2,0.036673,-0.035388,0.072061,0.692499,0.518007,0.036673,-0.035388,
0,14,8.000000,agent_2,actor_logits,1,1,2,0.251118,-0.249776,0.500894,0.662742,0.622670,-0.249776,0.251118,
0,14,8.000000,agent_3,actor_logits,0,1,2,0.181467,-0.179895,0.361362,0.677087,0.589370,0.181467,-0.179895,
0,15,8.500000,agent_0,actor_logits,1,1,2,0.041647,-0.040450,0.082097,0.692305,0.520513,-0.040450,0.041647,
0,15,8.500000,agent_1,actor_logits,0,1,2,0.109315,-0.107937,0.217252,0.687282,0.554100,0.109315,-0.107937,
0,15,8.500000,agent_3,actor_logits,0,1,2,0.312713,-0.310489,0.623202,0.646859,0.650946,0.312713,-0.310489,
0,16,9.000000,agent_0,actor_logits,0,1,2,0.219155,-0.217259,0.436414,0.669895,0.607404,0.219155,-0.217259,
0,17,9.500000,agent_0,actor_logits,0,1,2,0.047202,-0.045933,0.093136,0.692064,0.523267,0.047202,-0.045933,
0,17,9.500000,agent_2,actor_logits,1,1,2,0.506200,-0.504382,1.010583,0.580117,0.733134,-0.504382,0.506200,
0,18,10.000000,agent_1,actor_logits,1,1,2,0.095982,-0.094412,0.190394,0.688636,0.547455,-0.094412,0.095982,
0,18,10.000000,agent_2,actor_logits,0,1,1,0.329155,0.329155,nan,0.000000,1.000000,0.329155,,
0,18,10.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,19,10.500000,agent_2,actor_logits,1,1,2,0.055386,-0.054137,0.109523,0.691650,0.527353,-0.054137,0.055386,
0,20,11.000000,agent_0,actor_logits,0,1,1,0.280848,0.280848,nan,0.000000,1.000000,0.280848,,
0,20,11.000000,agent_2,actor_logits,0,1,1,0.404278,0.404278,nan,0.000000,1.000000,0.404278,,
0,21,11.500000,agent_1,actor_logits,1,1,2,0.183617,-0.182248,0.365865,0.676691,0.590459,-0.182248,0.183617,
0,21,11.500000,agent_2,actor_logits,0,1,2,0.020403,-0.019142,0.039545,0.692952,0.509885,0.020403,-0.019142,
0,21,11.500000,agent_3,actor_logits,0,1,2,0.061631,-0.059965,0.121596,0.691302,0.530362,0.061631,-0.059965,
0,22,12.000000,agent_1,actor_logits,0,1,2,0.248551,-0.246588,0.495139,0.663416,0.621316,0.248551,-0.246588,
0,23,12.500000,agent_0,actor_logits,1,1,2,0.210829,-0.209672,0.420502,0.671524,0.603603,-0.209672,0.210829,
0,23,12.500000,agent_1,actor_logits,0,1,2,0.094613,-0.093415,0.188028,0.688747,0.546869,0.094613,-0.093415,
0,24,13.000000,agent_0,actor_logits,1,1,2,0.276103,-0.274909,0.551013,0.656589,0.634371,-0.274909,0.276103,
0,24,13.000000,agent_2,actor_logits,1,1,2,0.288258,-0.287037,0.575296,0.653427,0.639984,-0.287037,0.288258,
0,24,13.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,25,14.000000,agent_0,actor_logits,1,1,2,0.239515,-0.238333,0.477849,0.665399,0.617240,-0.238333,0.239515,
0,25,14.000000,agent_1,actor_logits,0,1,2,0.085896,-0.084606,0.170502,0.689526,0.542523,0.085896,-0.084606,
0,26,14.500000,agent_2,actor_logits,1,1,2,0.461878,-0.460076,0.921954,0.597209,0.715440,-0.460076,0.461878,
0,26,14.500000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,27,15.000000,agent_0,actor_logits,1,1,2,0.315688,-0.314235,0.629923,0.645903,0.652472,-0.314235,0.315688,
0,27,15.000000,agent_1,actor_logits,1,1,2,0.164780,-0.163496,0.328277,0.679856,0.581340,-0.163496,0.164780,
0,27,15.000000,agent_2,actor_logits,0,1,1,0.339439,0.339439,nan,0.000000,1.000000,0.339439,,
0,28,15.500000,agent_2,actor_logits,1,1,2,0.094435,-0.093193,0.187628,0.688766,0.546770,-0.093193,0.094435,
0,29,16.000000,agent_1,actor_logits,0,1,2,0.008717,-0.007319,0.016036,0.693115,0.504009,0.008717,-0.007319,
0,29,16.000000,agent_2,actor_logits,0,1,1,0.328156,0.328156,nan,0.000000,1.000000,0.328156,,
0,29,16.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,30,16.500000,agent_0,actor_logits,1,1,2,0.458649,-0.457174,0.915823,0.598357,0.714190,-0.457174,0.458649,
0,30,16.500000,agent_2,actor_logits,0,1,2,0.050509,-0.049192,0.099701,0.691906,0.524905,0.050509,-0.049192,
0,31,17.000000,agent_0,actor_logits,0,1,2,0.050598,-0.049428,0.100026,0.691898,0.524986,0.050598,-0.049428,
0,31,17.000000,agent_1,actor_logits,0,1,2,0.292018,-0.289784,0.581802,0.652561,0.641482,0.292018,-0.289784,
0,32,17.500000,agent_0,actor_logits,0,1,2,0.003333,-0.002229,0.005562,0.693143,0.501391,0.003333,-0.002229,
0,32,17.500000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,33,18.000000,agent_1,actor_logits,0,1,2,0.120816,-0.119552,0.240369,0.685977,0.559804,0.120816,-0.119552,
0,33,18.000000,agent_2,actor_logits,1,1,2,0.476848,-0.475196,0.952044,0.591506,0.721526,-0.475196,0.476848,
0,34,18.500000,agent_1,actor_logits,0,1,2,0.164009,-0.162210,0.326218,0.680020,0.580839,0.164009,-0.162210,
0,35,19.000000,agent_0,actor_logits,1,1,2,0.182603,-0.181357,0.363960,0.676859,0.589999,-0.181357,0.182603,
0,35,19.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,36,19.500000,agent_2,actor_logits,1,1,2,0.504173,-0.502345,1.006518,0.580919,0.732338,-0.502345,0.504173,
0,37,20.000000,agent_1,actor_logits,0,1,1,0.304857,0.304857,nan,0.000000,1.000000,0.304857,,
0,37,20.000000,agent_2,actor_logits,0,1,1,0.441804,0.441804,nan,0.000000,1.000000,0.441804,,
0,38,20.500000,agent_0,actor_logits,1,1,2,0.323515,-0.321989,0.645504,0.643655,0.655997,-0.321989,0.323515,
0,38,20.500000,agent_2,actor_logits,0,1,2,0.057498,-0.056124,0.113623,0.691536,0.528375,0.057498,-0.056124,
0,38,20.500000,agent_3,actor_logits,0,1,2,0.080108,-0.078495,0.158604,0.690013,0.539568,0.080108,-0.078495,
0,39,21.000000,agent_0,actor_logits,0,1,2,0.252702,-0.250706,0.503407,0.662446,0.623260,0.252702,-0.250706,
0,40,21.500000,agent_0,actor_logits,0,1,2,0.109361,-0.108132,0.217493,0.687269,0.554160,0.109361,-0.108132,
0,40,21.500000,agent_1,actor_logits,1,1,2,0.244597,-0.243409,0.488006,0.664242,0.619636,-0.243409,0.244597,
0,41,22.000000,agent_1,actor_logits,1,1,2,0.266720,-0.265534,0.532253,0.658951,0.630009,-0.265534,0.266720,
0,41,22.000000,agent_2,actor_logits,1,1,2,0.312488,-0.311222,0.623710,0.646787,0.651062,-0.311222,0.312488,
0,41,22.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,42,23.000000,agent_0,actor_logits,0,1,2,0.085896,-0.084606,0.170502,0.689526,0.542523,0.085896,-0.084606,
0,42,23.000000,agent_1,actor_logits,1,1,2,0.239515,-0.238333,0.477849,0.665399,0.617240,-0.238333,0.239515,
0,43,23.500000,agent_2,actor_logits,1,1,2,0.461878,-0.460076,0.921954,0.597209,0.715440,-0.460076,0.461878,
0,43,23.500000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,44,24.000000,agent_0,actor_logits,1,1,2,0.164780,-0.163496,0.328277,0.679856,0.581340,-0.163496,0.164780,
0,44,24.000000,agent_1,actor_logits,1,1,2,0.315688,-0.314235,0.629923,0.645903,0.652472,-0.314235,0.315688,
0,44,24.000000,agent_2,actor_logits,0,1,1,0.339439,0.339439,nan,0.000000,1.000000,0.339439,,
0,45,24.500000,agent_2,actor_logits,1,1,2,0.094435,-0.093193,0.187628,0.688766,0.546770,-0.093193,0.094435,
0,46,25.000000,agent_0,actor_logits,0,1,2,0.008717,-0.007319,0.016036,0.693115,0.504009,0.008717,-0.007319,
0,46,25.000000,agent_2,actor_logits,0,1,1,0.328156,0.328156,nan,0.000000,1.000000,0.328156,,
0,46,25.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,47,25.500000,agent_1,actor_logits,1,1,2,0.458649,-0.457174,0.915823,0.598357,0.714190,-0.457174,0.458649,
0,47,25.500000,agent_2,actor_logits,0,1,2,0.050509,-0.049192,0.099701,0.691906,0.524905,0.050509,-0.049192,
0,48,26.000000,agent_0,actor_logits,0,1,2,0.292018,-0.289784,0.581802,0.652561,0.641482,0.292018,-0.289784,
0,48,26.000000,agent_1,actor_logits,0,1,2,0.050598,-0.049428,0.100026,0.691898,0.524986,0.050598,-0.049428,
0,49,26.500000,agent_1,actor_logits,0,1,2,0.003333,-0.002229,0.005562,0.693143,0.501391,0.003333,-0.002229,
0,49,26.500000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,50,27.000000,agent_0,actor_logits,0,1,2,0.120816,-0.119552,0.240369,0.685977,0.559804,0.120816,-0.119552,
0,50,27.000000,agent_2,actor_logits,1,1,2,0.476848,-0.475196,0.952044,0.591506,0.721526,-0.475196,0.476848,
0,51,27.500000,agent_0,actor_logits,0,1,2,0.164009,-0.162210,0.326218,0.680020,0.580839,0.164009,-0.162210,
0,52,28.000000,agent_1,actor_logits,1,1,2,0.182603,-0.181357,0.363960,0.676859,0.589999,-0.181357,0.182603,
0,52,28.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,53,28.500000,agent_2,actor_logits,1,1,2,0.504173,-0.502345,1.006518,0.580919,0.732338,-0.502345,0.504173,
0,54,29.000000,agent_0,actor_logits,0,1,1,0.304857,0.304857,nan,0.000000,1.000000,0.304857,,
0,54,29.000000,agent_2,actor_logits,0,1,1,0.441804,0.441804,nan,0.000000,1.000000,0.441804,,
0,55,29.500000,agent_1,actor_logits,1,1,2,0.323515,-0.321989,0.645504,0.643655,0.655997,-0.321989,0.323515,
0,55,29.500000,agent_2,actor_logits,0,1,2,0.057498,-0.056124,0.113623,0.691536,0.528375,0.057498,-0.056124,
0,55,29.500000,agent_3,actor_logits,0,1,2,0.080108,-0.078495,0.158604,0.690013,0.539568,0.080108,-0.078495,
0,56,30.000000,agent_1,actor_logits,0,1,2,0.252702,-0.250706,0.503407,0.662446,0.623260,0.252702,-0.250706,
0,57,30.500000,agent_0,actor_logits,1,1,2,0.244597,-0.243409,0.488006,0.664242,0.619636,-0.243409,0.244597,
0,57,30.500000,agent_1,actor_logits,0,1,2,0.109361,-0.108132,0.217493,0.687269,0.554160,0.109361,-0.108132,
0,58,31.000000,agent_0,actor_logits,1,1,2,0.266720,-0.265534,0.532253,0.658951,0.630009,-0.265534,0.266720,
0,58,31.000000,agent_2,actor_logits,1,1,2,0.312488,-0.311222,0.623710,0.646787,0.651062,-0.311222,0.312488,
0,58,31.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,59,32.000000,agent_0,actor_logits,1,1,2,0.239515,-0.238333,0.477849,0.665399,0.617240,-0.238333,0.239515,
0,59,32.000000,agent_1,actor_logits,0,1,2,0.085896,-0.084606,0.170502,0.689526,0.542523,0.085896,-0.084606,
0,60,32.500000,agent_2,actor_logits,1,1,2,0.461878,-0.460076,0.921954,0.597209,0.715440,-0.460076,0.461878,
0,60,32.500000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,61,33.000000,agent_0,actor_logits,1,1,2,0.315688,-0.314235,0.629923,0.645903,0.652472,-0.314235,0.315688,
0,61,33.000000,agent_1,actor_logits,1,1,2,0.164780,-0.163496,0.328277,0.679856,0.581340,-0.163496,0.164780,
0,61,33.000000,agent_2,actor_logits,0,1,1,0.339439,0.339439,nan,0.000000,1.000000,0.339439,,
0,62,33.500000,agent_2,actor_logits,1,1,2,0.094435,-0.093193,0.187628,0.688766,0.546770,-0.093193,0.094435,
0,63,34.000000,agent_1,actor_logits,0,1,2,0.008717,-0.007319,0.016036,0.693115,0.504009,0.008717,-0.007319,
0,63,34.000000,agent_2,actor_logits,0,1,1,0.328156,0.328156,nan,0.000000,1.000000,0.328156,,
0,63,34.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,64,34.500000,agent_0,actor_logits,1,1,2,0.458649,-0.457174,0.915823,0.598357,0.714190,-0.457174,0.458649,
0,64,34.500000,agent_2,actor_logits,0,1,2,0.050509,-0.049192,0.099701,0.691906,0.524905,0.050509,-0.049192,
0,65,35.000000,agent_0,actor_logits,0,1,2,0.050598,-0.049428,0.100026,0.691898,0.524986,0.050598,-0.049428,
0,65,35.000000,agent_1,actor_logits,0,1,2,0.292018,-0.289784,0.581802,0.652561,0.641482,0.292018,-0.289784,
0,66,35.500000,agent_0,actor_logits,0,1,2,0.003333,-0.002229,0.005562,0.693143,0.501391,0.003333,-0.002229,
0,66,35.500000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,67,36.000000,agent_1,actor_logits,0,1,2,0.120816,-0.119552,0.240369,0.685977,0.559804,0.120816,-0.119552,
0,67,36.000000,agent_2,actor_logits,1,1,2,0.476848,-0.475196,0.952044,0.591506,0.721526,-0.475196,0.476848,
0,68,36.500000,agent_1,actor_logits,0,1,2,0.164009,-0.162210,0.326218,0.680020,0.580839,0.164009,-0.162210,
0,69,37.000000,agent_0,actor_logits,1,1,2,0.182603,-0.181357,0.363960,0.676859,0.589999,-0.181357,0.182603,
0,69,37.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,70,37.500000,agent_2,actor_logits,1,1,2,0.504173,-0.502345,1.006518,0.580919,0.732338,-0.502345,0.504173,
0,71,38.000000,agent_1,actor_logits,0,1,1,0.304857,0.304857,nan,0.000000,1.000000,0.304857,,
0,71,38.000000,agent_2,actor_logits,0,1,1,0.441804,0.441804,nan,0.000000,1.000000,0.441804,,
0,72,38.500000,agent_0,actor_logits,1,1,2,0.323515,-0.321989,0.645504,0.643655,0.655997,-0.321989,0.323515,
0,72,38.500000,agent_2,actor_logits,0,1,2,0.057498,-0.056124,0.113623,0.691536,0.528375,0.057498,-0.056124,
0,72,38.500000,agent_3,actor_logits,0,1,2,0.080108,-0.078495,0.158604,0.690013,0.539568,0.080108,-0.078495,
0,73,39.000000,agent_0,actor_logits,0,1,2,0.252702,-0.250706,0.503407,0.662446,0.623260,0.252702,-0.250706,
0,74,39.500000,agent_0,actor_logits,0,1,2,0.109361,-0.108132,0.217493,0.687269,0.554160,0.109361,-0.108132,
0,74,39.500000,agent_1,actor_logits,1,1,2,0.244597,-0.243409,0.488006,0.664242,0.619636,-0.243409,0.244597,
0,75,40.000000,agent_1,actor_logits,1,1,2,0.266720,-0.265534,0.532253,0.658951,0.630009,-0.265534,0.266720,
0,75,40.000000,agent_2,actor_logits,1,1,2,0.312488,-0.311222,0.623710,0.646787,0.651062,-0.311222,0.312488,
0,75,40.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,76,41.000000,agent_0,actor_logits,0,1,2,0.085896,-0.084606,0.170502,0.689526,0.542523,0.085896,-0.084606,
0,76,41.000000,agent_1,actor_logits,1,1,2,0.239515,-0.238333,0.477849,0.665399,0.617240,-0.238333,0.239515,
0,77,41.500000,agent_2,actor_logits,1,1,2,0.461878,-0.460076,0.921954,0.597209,0.715440,-0.460076,0.461878,
0,77,41.500000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,78,42.000000,agent_0,actor_logits,1,1,2,0.164780,-0.163496,0.328277,0.679856,0.581340,-0.163496,0.164780,
0,78,42.000000,agent_1,actor_logits,1,1,2,0.315688,-0.314235,0.629923,0.645903,0.652472,-0.314235,0.315688,
0,78,42.000000,agent_2,actor_logits,0,1,1,0.339439,0.339439,nan,0.000000,1.000000,0.339439,,
0,79,42.500000,agent_2,actor_logits,1,1,2,0.094435,-0.093193,0.187628,0.688766,0.546770,-0.093193,0.094435,
0,80,43.000000,agent_0,actor_logits,0,1,2,0.008717,-0.007319,0.016036,0.693115,0.504009,0.008717,-0.007319,
0,80,43.000000,agent_2,actor_logits,0,1,1,0.328156,0.328156,nan,0.000000,1.000000,0.328156,,
0,80,43.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,81,43.500000,agent_1,actor_logits,1,1,2,0.458649,-0.457174,0.915823,0.598357,0.714190,-0.457174,0.458649,
0,81,43.500000,agent_2,actor_logits,0,1,2,0.050509,-0.049192,0.099701,0.691906,0.524905,0.050509,-0.049192,
0,82,44.000000,agent_0,actor_logits,0,1,2,0.292018,-0.289784,0.581802,0.652561,0.641482,0.292018,-0.289784,
0,82,44.000000,agent_1,actor_logits,0,1,2,0.050598,-0.049428,0.100026,0.691898,0.524986,0.050598,-0.049428,
0,83,44.500000,agent_1,actor_logits,0,1,2,0.003333,-0.002229,0.005562,0.693143,0.501391,0.003333,-0.002229,
0,83,44.500000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,84,45.000000,agent_0,actor_logits,0,1,2,0.120816,-0.119552,0.240369,0.685977,0.559804,0.120816,-0.119552,
0,84,45.000000,agent_2,actor_logits,1,1,2,0.476848,-0.475196,0.952044,0.591506,0.721526,-0.475196,0.476848,
0,85,45.500000,agent_0,actor_logits,0,1,2,0.164009,-0.162210,0.326218,0.680020,0.580839,0.164009,-0.162210,
0,86,46.000000,agent_1,actor_logits,1,1,2,0.182603,-0.181357,0.363960,0.676859,0.589999,-0.181357,0.182603,
0,86,46.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,87,46.500000,agent_2,actor_logits,1,1,2,0.504173,-0.502345,1.006518,0.580919,0.732338,-0.502345,0.504173,
0,88,47.000000,agent_0,actor_logits,0,1,1,0.304857,0.304857,nan,0.000000,1.000000,0.304857,,
0,88,47.000000,agent_2,actor_logits,0,1,1,0.441804,0.441804,nan,0.000000,1.000000,0.441804,,
0,89,47.500000,agent_1,actor_logits,1,1,2,0.323515,-0.321989,0.645504,0.643655,0.655997,-0.321989,0.323515,
0,89,47.500000,agent_2,actor_logits,0,1,2,0.057498,-0.056124,0.113623,0.691536,0.528375,0.057498,-0.056124,
0,89,47.500000,agent_3,actor_logits,0,1,2,0.080108,-0.078495,0.158604,0.690013,0.539568,0.080108,-0.078495,
0,90,48.000000,agent_1,actor_logits,0,1,2,0.252702,-0.250706,0.503407,0.662446,0.623260,0.252702,-0.250706,
0,91,48.500000,agent_0,actor_logits,1,1,2,0.244597,-0.243409,0.488006,0.664242,0.619636,-0.243409,0.244597,
0,91,48.500000,agent_1,actor_logits,0,1,2,0.109361,-0.108132,0.217493,0.687269,0.554160,0.109361,-0.108132,
0,92,49.000000,agent_0,actor_logits,1,1,2,0.266720,-0.265534,0.532253,0.658951,0.630009,-0.265534,0.266720,
0,92,49.000000,agent_2,actor_logits,1,1,2,0.312488,-0.311222,0.623710,0.646787,0.651062,-0.311222,0.312488,
0,92,49.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,93,50.000000,agent_0,actor_logits,1,1,2,0.239515,-0.238333,0.477849,0.665399,0.617240,-0.238333,0.239515,
0,93,50.000000,agent_1,actor_logits,0,1,2,0.085896,-0.084606,0.170502,0.689526,0.542523,0.085896,-0.084606,
0,94,50.500000,agent_2,actor_logits,1,1,2,0.461878,-0.460076,0.921954,0.597209,0.715440,-0.460076,0.461878,
0,94,50.500000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,95,51.000000,agent_0,actor_logits,1,1,2,0.315688,-0.314235,0.629923,0.645903,0.652472,-0.314235,0.315688,
0,95,51.000000,agent_1,actor_logits,1,1,2,0.164780,-0.163496,0.328277,0.679856,0.581340,-0.163496,0.164780,
0,95,51.000000,agent_2,actor_logits,0,1,1,0.339439,0.339439,nan,0.000000,1.000000,0.339439,,
0,96,51.500000,agent_2,actor_logits,1,1,2,0.094435,-0.093193,0.187628,0.688766,0.546770,-0.093193,0.094435,
0,97,52.000000,agent_1,actor_logits,0,1,2,0.008717,-0.007319,0.016036,0.693115,0.504009,0.008717,-0.007319,
0,97,52.000000,agent_2,actor_logits,0,1,1,0.328156,0.328156,nan,0.000000,1.000000,0.328156,,
0,97,52.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,98,52.500000,agent_0,actor_logits,1,1,2,0.458649,-0.457174,0.915823,0.598357,0.714190,-0.457174,0.458649,
0,98,52.500000,agent_2,actor_logits,0,1,2,0.050509,-0.049192,0.099701,0.691906,0.524905,0.050509,-0.049192,
0,99,53.000000,agent_0,actor_logits,0,1,2,0.050598,-0.049428,0.100026,0.691898,0.524986,0.050598,-0.049428,
0,99,53.000000,agent_1,actor_logits,0,1,2,0.292018,-0.289784,0.581802,0.652561,0.641482,0.292018,-0.289784,
0,100,53.500000,agent_0,actor_logits,0,1,2,0.003333,-0.002229,0.005562,0.693143,0.501391,0.003333,-0.002229,
0,100,53.500000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,101,54.000000,agent_1,actor_logits,0,1,2,0.120816,-0.119552,0.240369,0.685977,0.559804,0.120816,-0.119552,
0,101,54.000000,agent_2,actor_logits,1,1,2,0.476848,-0.475196,0.952044,0.591506,0.721526,-0.475196,0.476848,
0,102,54.500000,agent_1,actor_logits,0,1,2,0.164009,-0.162210,0.326218,0.680020,0.580839,0.164009,-0.162210,
0,103,55.000000,agent_0,actor_logits,1,1,2,0.182603,-0.181357,0.363960,0.676859,0.589999,-0.181357,0.182603,
0,103,55.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,104,55.500000,agent_2,actor_logits,1,1,2,0.504173,-0.502345,1.006518,0.580919,0.732338,-0.502345,0.504173,
0,105,56.000000,agent_1,actor_logits,0,1,1,0.304857,0.304857,nan,0.000000,1.000000,0.304857,,
0,105,56.000000,agent_2,actor_logits,0,1,1,0.441804,0.441804,nan,0.000000,1.000000,0.441804,,
0,106,56.500000,agent_0,actor_logits,1,1,2,0.323515,-0.321989,0.645504,0.643655,0.655997,-0.321989,0.323515,
0,106,56.500000,agent_2,actor_logits,0,1,2,0.057498,-0.056124,0.113623,0.691536,0.528375,0.057498,-0.056124,
0,106,56.500000,agent_3,actor_logits,0,1,2,0.080108,-0.078495,0.158604,0.690013,0.539568,0.080108,-0.078495,
0,107,57.000000,agent_0,actor_logits,0,1,2,0.252702,-0.250706,0.503407,0.662446,0.623260,0.252702,-0.250706,
0,108,57.500000,agent_0,actor_logits,0,1,2,0.109361,-0.108132,0.217493,0.687269,0.554160,0.109361,-0.108132,
0,108,57.500000,agent_1,actor_logits,1,1,2,0.244597,-0.243409,0.488006,0.664242,0.619636,-0.243409,0.244597,
